Identifier,StructureData,,,,,,,Polymer EntityData,
Entry ID,EM Resolution (Å),EM Diffraction Resolution (Å),Experimental Method,PDB ID,Refinement Resolution (Å),Data Collection Resolution,High Resolution Limit,Entity ID,
"124D",,,"SOLUTION NMR","124D",,,,"1"
,,,,,,,,"2"
"157D",,,"X-RAY DIFFRACTION","157D","1.8",1.8,"1.8","1"
"165D",,,"X-RAY DIFFRACTION","165D","1.55",1.6,"1.55","1"
"176D",,,"SOLUTION NMR","176D",,,,"1"
,,,,,,,,"2"
"17RA",,,"SOLUTION NMR","17RA",,,,"1"
"1A1T",,,"SOLUTION NMR","1A1T",,,,"1"
,,,,,,,,"2"
"1A34",,,"X-RAY DIFFRACTION","1A34","1.81",1.81,"1.81","1"
,,,,,,,,"2"
,,,,,,,,"3"
"1A3M",,,"SOLUTION NMR","1A3M",,,,"1"
,,,,,,,,"2"
"1A4D",,,"SOLUTION NMR","1A4D",,,,"1"
,,,,,,,,"2"
"1A4T",,,"SOLUTION NMR","1A4T",,,,"1"
,,,,,,,,"2"
"1A51",,,"SOLUTION NMR","1A51",,,,"1"
"1A60",,,"SOLUTION NMR","1A60",,,,"1"
"1A9L",,,"SOLUTION NMR","1A9L",,,,"1"
"1A9N",,,"X-RAY DIFFRACTION","1A9N","2.38",2.38,"2.38","1"
,,,,,,,,"2"
,,,,,,,,"3"
"1AC3",,,"SOLUTION NMR","1AC3",,,,"1"
,,,,,,,,"2"
"1AFX",,,"SOLUTION NMR","1AFX",,,,"1"
"1AJF",,,"SOLUTION NMR","1AJF",,,,"1"
"1AJL",,,"SOLUTION NMR","1AJL",,,,"1"
,,,,,,,,"2"
"1AJT",,,"SOLUTION NMR","1AJT",,,,"1"
,,,,,,,,"2"
"1AJU",,,"SOLUTION NMR","1AJU",,,,"1"
"1AKX",,,"SOLUTION NMR","1AKX",,,,"1"
"1AL5",,,"SOLUTION NMR","1AL5",,,,"1"
"1AM0",,,"SOLUTION NMR","1AM0",,,,"1"
"1ANR",,,"SOLUTION NMR","1ANR",,,,"1"
"1AQ3",,,"X-RAY DIFFRACTION","1AQ3","2.8",2.8,"2.8","1"
,,,,,,,,"2"
"1AQ4",,,"X-RAY DIFFRACTION","1AQ4","3",3,"3","1"
,,,,,,,,"2"
"1AQO",,,"SOLUTION NMR","1AQO",,,,"1"
"1ARJ",,,"SOLUTION NMR","1ARJ",,,,"1"
"1ASY",,,"X-RAY DIFFRACTION","1ASY","2.9",2.9,"2.9","1"
,,,,,,,,"2"
"1ASZ",,,"X-RAY DIFFRACTION","1ASZ","3",3,"3","1"
,,,,,,,,"2"
"1ATO",,,"SOLUTION NMR","1ATO",,,,"1"
"1ATV",,,"SOLUTION NMR","1ATV",,,,"1"
"1ATW",,,"SOLUTION NMR","1ATW",,,,"1"
"1AUD",,,"SOLUTION NMR","1AUD",,,,"1"
,,,,,,,,"2"
"1AV6",,,"X-RAY DIFFRACTION","1AV6","2.8",2.7,"2.8","1"
,,,,,,,,"2"
"1B23",,,"X-RAY DIFFRACTION","1B23","2.6",2.6,"2.6","1"
,,,,,,,,"2"
"1B2M",,,"X-RAY DIFFRACTION","1B2M","2",2,"2","1"
,,,,,,,,"2"
"1B36",,,"SOLUTION NMR","1B36",,,,"1"
"1B7F",,,"X-RAY DIFFRACTION","1B7F","2.6",2.6,"2.6","1"
,,,,,,,,"2"
