Identifier,StructureData,,,,,,,Polymer EntityData,
Entry ID,EM Resolution (Å),EM Diffraction Resolution (Å),Experimental Method,PDB ID,Refinement Resolution (Å),Data Collection Resolution,High Resolution Limit,Entity ID,
"6X9Q","4.8",,"ELECTRON MICROSCOPY","6X9Q","4.8",,,"1"
,,,,,,,,"2"
,,,,,,,,"4"
,,,,,,,,"5"
,,,,,,,,"7"
,,,,,,,,"8"
,,,,,,,,"10"
,,,,,,,,"11"
,,,,,,,,"12"
,,,,,,,,"13"
,,,,,,,,"14"
,,,,,,,,"15"
,,,,,,,,"16"
,,,,,,,,"17"
,,,,,,,,"18"
,,,,,,,,"19"
,,,,,,,,"20"
,,,,,,,,"21"
,,,,,,,,"22"
,,,,,,,,"23"
,,,,,,,,"24"
,,,,,,,,"25"
,,,,,,,,"26"
,,,,,,,,"27"
,,,,,,,,"28"
,,,,,,,,"29"
,,,,,,,,"30"
,,,,,,,,"31"
,,,,,,,,"32"
,,,,,,,,"33"
,,,,,,,,"34"
,,,,,,,,"35"
,,,,,,,,"36"
,,,,,,,,"37"
,,,,,,,,"38"
,,,,,,,,"39"
,,,,,,,,"40"
,,,,,,,,"41"
,,,,,,,,"42"
,,,,,,,,"43"
,,,,,,,,"44"
,,,,,,,,"45"
,,,,,,,,"46"
,,,,,,,,"47"
,,,,,,,,"48"
,,,,,,,,"50"
,,,,,,,,"51"
,,,,,,,,"52"
,,,,,,,,"53"
,,,,,,,,"55"
,,,,,,,,"57"
,,,,,,,,"58"
,,,,,,,,"59"
,,,,,,,,"60"
,,,,,,,,"61"
,,,,,,,,"62"
,,,,,,,,"63"
,,,,,,,,"64"
,,,,,,,,"65"
,,,,,,,,"66"
,,,,,,,,"3"
,,,,,,,,"49"
,,,,,,,,"54"
,,,,,,,,"56"
,,,,,,,,"6"
,,,,,,,,"9"
"6XA1","2.8",,"ELECTRON MICROSCOPY","6XA1","2.8",,,"1"
,,,,,,,,"2"
,,,,,,,,"3"
,,,,,,,,"4"
,,,,,,,,"5"
,,,,,,,,"6"
,,,,,,,,"7"
,,,,,,,,"8"
,,,,,,,,"9"
,,,,,,,,"10"
,,,,,,,,"11"
,,,,,,,,"12"
,,,,,,,,"13"
,,,,,,,,"14"
,,,,,,,,"15"
,,,,,,,,"16"
,,,,,,,,"17"
,,,,,,,,"18"
,,,,,,,,"19"
,,,,,,,,"21"
,,,,,,,,"22"
,,,,,,,,"23"
,,,,,,,,"24"
,,,,,,,,"25"
,,,,,,,,"26"
,,,,,,,,"27"
,,,,,,,,"28"
,,,,,,,,"29"
,,,,,,,,"30"
,,,,,,,,"31"
,,,,,,,,"32"
,,,,,,,,"33"
,,,,,,,,"34"
,,,,,,,,"35"
,,,,,,,,"36"
,,,,,,,,"37"
,,,,,,,,"38"
,,,,,,,,"39"
,,,,,,,,"40"
,,,,,,,,"41"
,,,,,,,,"42"
,,,,,,,,"43"
,,,,,,,,"44"
,,,,,,,,"46"
,,,,,,,,"47"
,,,,,,,,"48"
,,,,,,,,"49"
,,,,,,,,"50"
,,,,,,,,"51"
,,,,,,,,"52"
,,,,,,,,"53"
,,,,,,,,"54"
,,,,,,,,"55"
,,,,,,,,"56"
,,,,,,,,"57"
,,,,,,,,"59"
,,,,,,,,"60"
,,,,,,,,"61"
,,,,,,,,"62"
,,,,,,,,"63"
,,,,,,,,"64"
,,,,,,,,"65"
,,,,,,,,"66"
,,,,,,,,"67"
,,,,,,,,"68"
,,,,,,,,"69"
,,,,,,,,"70"
