Identifier,StructureData,,,,,
Entry ID,Collection Temperature,Detector,Collection Date,Diffraction Source General Class,Diffraction Source Make, Model or Name,
"8ZNQ"
"8ZQB"
"8ZQC"
"9DRT","100","PIXEL","2019-11-09","SYNCHROTRON","APS BEAMLINE 19-ID"
"9DSX","100","PIXEL","2019-11-13","SYNCHROTRON","APS BEAMLINE 19-ID"
"9DTF","100","PIXEL","2019-11-09","SYNCHROTRON","APS BEAMLINE 19-ID"
"9IWF","100","PIXEL","2023-07-03","SYNCHROTRON","SSRF BEAMLINE BL19U1"
"9IWG","100","PIXEL","2023-05-07","SYNCHROTRON","SSRF BEAMLINE BL19U1"
"9J09"
"9J9H"
"9J9I"
"9JGM","80","PIXEL","2016-02-17","SYNCHROTRON","APS BEAMLINE 24-ID-C"
"9MM6"
"9MME"
"9MMG"
"9QEG"
"9QEH"
"9UDI"
"8PNN","100","PIXEL","2021-08-18","SYNCHROTRON","SLS BEAMLINE X10SA"
"9BS6"
"9BUP"
"9BUQ"
"9BUS"
"9BUT"
"9BUU"
"9C2K","100","PIXEL","2023-06-24","SYNCHROTRON","NSLS-II BEAMLINE 17-ID-2"
"9C75","100","PIXEL","2024-06-03","SYNCHROTRON","NSLS-II BEAMLINE 17-ID-2"
"9DP9"
"9E7D","100","PIXEL","2024-10-05","SYNCHROTRON","NSLS-II BEAMLINE 17-ID-2"
"9E7E","100","PIXEL","2024-10-05","SYNCHROTRON","NSLS-II BEAMLINE 17-ID-2"
"9E7G","100","PIXEL","2024-10-05","SYNCHROTRON","NSLS-II BEAMLINE 17-ID-2"
"9GXX"
"9H0L"
"8ZGR"
"8ZGY"
"8ZH3"
"8ZHB"
"8ZHC"
"9DOU"
"9H90"
"9H91"
"9NVU"
"9BLF"
"9BWV"
"9BWZ"
"9BX0"
"9BX1"
"9BX4"
"9C4H"
"9CSO","99","PIXEL","2024-04-14","SYNCHROTRON","ALS BEAMLINE 8.2.1"
"9CSP","99","PIXEL","2024-06-27","SYNCHROTRON","ALS BEAMLINE 8.2.1"
"9CSQ","99","PIXEL","2024-06-21","SYNCHROTRON","ALS BEAMLINE 8.2.1"
"9CSR","99","PIXEL","2024-04-18","SYNCHROTRON","ALS BEAMLINE 8.2.1"
"9GY4"
"9IOA"
"9IOB"
"9MDW","99","PIXEL","2024-10-30","SYNCHROTRON","ALS BEAMLINE 5.0.1"
"9MDX","99","PIXEL","2024-10-30","SYNCHROTRON","ALS BEAMLINE 5.0.1"
"9MDY","99","PIXEL","2024-10-30","SYNCHROTRON","ALS BEAMLINE 5.0.1"
"9MU8"
"9NLV"
"9NLX"
"9Q87"
"9QRP","138","IMAGE PLATE","1994-11-19","SYNCHROTRON","LURE BEAMLINE DW32"
"9QT5"
"8XRJ"
"8XRM"
"8XSO"
"8XVS"
"9FM4"
"9LPC","100","PIXEL","2024-03-30","SYNCHROTRON","SSRF BEAMLINE BL19U1"
"8QW8"
"8QW9"
"8UIK"
"8UJB"
"8URJ"
"8VPK"
"9AZC"
"9AZM"
"9AZN"
"9AZS"
"9B0J"
"9B0N"
"9B0O"
"9B0W"
"9B11"
"9MDS"
"9MEE"
"9MQS"
"9MQT"
"9MQU"
"9QIW"
"8ZTY"
"9CN3"
"9ELY"
"9G1Z"
"9G30"
"9G5B"
"9G5C"
"9G5D"
"9G5E"
"9G6J"
"9H1K","100","PIXEL","2024-09-06","SYNCHROTRON","SOLEIL BEAMLINE PROXIMA 1"
"9HFM"
"9HFN"
"9HFO"
"9MCW"
"9MUJ","100","PIXEL","2024-06-07","SYNCHROTRON","SOLEIL BEAMLINE PROXIMA 1"
"9N69"
"9N6B"
"9N6C"
"8QQ2"
"8UJ9"
"8UJC"
"8UJD"
"8UJJ"
"8UJK"
"8WRC","293","PIXEL","2018-11-30","FREE ELECTRON LASER","SLAC LCLS BEAMLINE CXI"
"8WRP"
"8WRQ"
"8WRR"
"8WRS"
"8WRT"
"8WRU"
"8WRV"
"8WRW"
"8WS5"
"8WS6"
"8WS7"
"8WS8"
"8WS9"
"9ECQ"
"9ECR"
"9EWW"
"9K2G"
"9K36"
"9K38"
"9K39"
"9K3B"
"9K3U"
"9K3V"
"9LKT"
"9LXN"
"9LXO"
"9MUD"
"9MUE"
"9MUO"
"9MW9"
"8UIY"
"8UIZ"
"9DIB","100","PIXEL","2021-05-19","SYNCHROTRON","ALS BEAMLINE 5.0.1"
"9DID","100","PIXEL","2021-05-19","SYNCHROTRON","ALS BEAMLINE 5.0.1"
"9DIG"
"9DII"
"8YWH"
"9BXE"
"9IO0"
"9IO1"
"9IOR"
"9IOS"
"9IOU"
"9JSB"
"9JSP"
"9JSZ"
"9JT2"
