Identifier,StructureData,,,,,
Entry ID,Collection Temperature,Detector,Collection Date,Diffraction Source General Class,Diffraction Source Make, Model or Name,
"3BX3","100","CCD","2007-08-07","ROTATING ANODE","RIGAKU MICROMAX-007 HF"
"2RDO"
"2RLU"
"2RFK","100","CCD","2007-02-18","SYNCHROTRON","APS BEAMLINE 22-ID"
"2OOM"
"2QWY","100",,"2007-04-10","ROTATING ANODE","RIGAKU"
"2OM7"
"2RD2","100","CCD","2004-07-02","SYNCHROTRON","SSRL BEAMLINE BL9-1"
"2RE8","100","CCD","2004-07-02","SYNCHROTRON","SSRL BEAMLINE BL9-1"
"3BOY","100","CCD","2006-04-18","SYNCHROTRON","SPRING-8 BEAMLINE BL26B1"
"2JWV"
"2RKJ","100","CCD","2006-12-07","SYNCHROTRON","APS BEAMLINE 23-ID-D"
"3BSN","100","CCD","2007-10-09","SYNCHROTRON","CLSI BEAMLINE 08ID-1"
"3BSO","100","CCD","2007-12-01","SYNCHROTRON","ALS BEAMLINE 8.3.1"
"2OIY","100","CCD","2001-02-24","SYNCHROTRON","ESRF BEAMLINE ID14-2"
"2OJ0","100","CCD","2001-06-04","SYNCHROTRON","ESRF BEAMLINE BM30A"
"3B31",,"IMAGE PLATE",,"ROTATING ANODE","RIGAKU"
,,"CCD",,"SYNCHROTRON","ALS BEAMLINE 12.3.1"
"2QUX","100","CCD","2007-02-19","SYNCHROTRON","APS BEAMLINE 31-ID"
"3B4A","100","CCD","2006-09-24","SYNCHROTRON","ALS BEAMLINE 8.2.2"
"3B4B","100","IMAGE PLATE","2007-07-30","ROTATING ANODE","RIGAKU"
"3B4C","100","CCD","2007-07-12","SYNCHROTRON","ALS BEAMLINE 5.0.2"
"2O43",,"CCD",,"SYNCHROTRON","APS BEAMLINE 19-ID"
,,"CCD",,"SYNCHROTRON","ESRF BEAMLINE ID29"
"2O44",,"CCD",,"SYNCHROTRON","APS BEAMLINE 19-ID"
,,"CCD",,"SYNCHROTRON","ESRF BEAMLINE ID29"
"2O45",100,"CCD",,"SYNCHROTRON","APS BEAMLINE 19-ID"
,,,,"SYNCHROTRON","ESRF BEAMLINE ID29"
"2R8S",100,"CCD","2006-05-29","SYNCHROTRON","APS BEAMLINE 19-BM"
,100,"IMAGE PLATE","2006-06-05","SYNCHROTRON","APS BEAMLINE 23-ID-D"
,100,"IMAGE PLATE","2006-06-15","SYNCHROTRON","APS BEAMLINE 22-ID"

"2R92","100","CCD","2007-02-05","SYNCHROTRON","SLS BEAMLINE X06SA"
"2R93","100","CCD","2007-05-05","SYNCHROTRON","SLS BEAMLINE X06SA"
"2JSE"
"2JUK"
"2NUE","100","CCD","2005-01-18","SYNCHROTRON","APS BEAMLINE 22-ID"
"2NUF","100","CCD","2005-11-23","SYNCHROTRON","APS BEAMLINE 22-ID"
"2NUG","100","CCD","2006-07-03","SYNCHROTRON","APS BEAMLINE 22-ID"
"2R7Z","100","CCD","2006-12-18","SYNCHROTRON","SLS BEAMLINE X06SA"
"2EES","100","IMAGE PLATE","2006-06-22","ROTATING ANODE","RIGAKU"
"2EET","100","IMAGE PLATE","2006-06-27","ROTATING ANODE","RIGAKU"
"2EEU","100","IMAGE PLATE","2006-05-16","ROTATING ANODE","RIGAKU"
"2EEV","100","IMAGE PLATE","2006-06-09","ROTATING ANODE","RIGAKU"
"2EEW","100","IMAGE PLATE","2006-07-07","ROTATING ANODE","RIGAKU"
"2QK9","100","CCD",,"SYNCHROTRON","APS BEAMLINE 22-ID"
"2QKB","100",,,"SYNCHROTRON","APS BEAMLINE 22-ID"
"2QKK","100","CCD","2005-07-11","SYNCHROTRON","APS BEAMLINE 22-ID"
"2O3V","100","CCD","2006-05-22","SYNCHROTRON","ESRF BEAMLINE ID29"
"2O3W","100","CCD","2005-11-28","SYNCHROTRON","ESRF BEAMLINE ID29"
"2O3X","100","CCD","2006-05-22","SYNCHROTRON","ESRF BEAMLINE ID29"
"2O3Y","100","CCD","2006-03-02","SYNCHROTRON","ESRF BEAMLINE ID23-2"
"2PLY","100","CCD","2003-02-20","SYNCHROTRON","ESRF BEAMLINE BM30A"
"2V6W","100","CCD",,"SYNCHROTRON","ELETTRA BEAMLINE 5.2R"
"2PJP","100","CCD","2005-11-19","SYNCHROTRON","ESRF BEAMLINE BM30A"
"2PN9"
"2Q1O","120","CCD","2005-11-16","SYNCHROTRON","APS BEAMLINE 22-ID"
"2Q1R","120","CCD","2004-03-26","SYNCHROTRON","APS BEAMLINE 5ID-B"
"2OM3"
"2VAL","100","CCD",,"SYNCHROTRON","EMBL/DESY, HAMBURG BEAMLINE X13"
"2Z9Q"
"2JTP"
"2UXD","100","CCD","2005-10-12","SYNCHROTRON","ESRF BEAMLINE ID14-4"
"2VAZ"
"2QH2"
"2QH3"
"2QH4"
"2R1S","80","IMAGE PLATE","2003-02-03","SYNCHROTRON","ESRF BEAMLINE BM30A"
"2R20","80","IMAGE PLATE","2002-05-04","SYNCHROTRON","ESRF BEAMLINE BM30A"
"2R21","80","IMAGE PLATE","2003-05-04","SYNCHROTRON","ESRF BEAMLINE BM30A"
"2R22","80","IMAGE PLATE","2003-02-03","SYNCHROTRON","ESRF BEAMLINE BM30A"
