Identifier,StructureData,,,,,
Entry ID,Collection Temperature,Detector,Collection Date,Diffraction Source General Class,Diffraction Source Make, Model or Name,
"7V59"
"7TR6"
"7TR8"
"7TR9"
"7TRA"
"7UR5"
"7URI"
"7URM"
"7XUE"
"7XUG"
"7XUI"
"7Z20"
"7ZOD"
"7ZP8"
"7ZQ5"
"7ZQ6"
"7EVO"
"7OOO","100","PIXEL","2020-02-10","SYNCHROTRON","DIAMOND BEAMLINE I04"
"7OOS","100","PIXEL","2018-11-03","SYNCHROTRON","PETRA III, EMBL c/o DESY BEAMLINE P13 (MX1)"
"7OZZ","100","PIXEL","2018-11-03","SYNCHROTRON","PETRA III, EMBL c/o DESY BEAMLINE P13 (MX1)"
"7QIZ"
"7SA4"
"7SOP","100","PIXEL","2021-02-17","SYNCHROTRON","CLSI BEAMLINE 08ID-1"
"7SOQ","100","PIXEL","2021-06-21","SYNCHROTRON","APS BEAMLINE 24-ID-E"
"7SOR","100","PIXEL","2021-05-09","SYNCHROTRON","CHESS BEAMLINE F1"
"7SOS","100","PIXEL","2021-05-09","SYNCHROTRON","CHESS BEAMLINE F1"
"7SOT","100","PIXEL","2021-05-09","SYNCHROTRON","CHESS BEAMLINE F1"
"7SOU","100","PIXEL","2021-05-09","SYNCHROTRON","CHESS BEAMLINE F1"
"7SOV","100","PIXEL","2021-06-17","SYNCHROTRON","APS BEAMLINE 24-ID-E"
"7SWF"
"7VPZ"
"7X74"
"7XSK"
"7XSL"
"7XSM"
"7XSN"
"7ZAG"
"7ZAH"
"7FGI"
"7P2E"
"7SYO"
"7SYP"
"7SYQ"
"7SYR"
"7SYS"
"7OYC"
"7OYD"
"7QP2","100","PIXEL","2021-06-18","SYNCHROTRON","SLS BEAMLINE X06DA"
"7R97","100","CCD","2019-03-15","SYNCHROTRON","APS BEAMLINE 22-ID"
"7RWR"
"7SYV"
"7UCR","100","PIXEL","2020-02-14","LIQUID ANODE","Excillum MetalJet D2 70 kV"
,,"AREA DETECTOR","2020-01-29","SPALLATION SOURCE","ORNL Spallation Neutron Source BEAMLINE MANDI"
"7XYA"
"7XYB"
"7ZKI"
"7OYA"
"7OYB"
"7QI4"
"7QIW"
"7SYG"
"7SYH"
"7SYI"
"7SYJ"
"7SYK"
"7SYL"
"7SYM"
"7SYN"
"7SYT"
"7SYU"
"7SYW"
"7SYX"
"7U2H","100","PIXEL","2020-07-10","SYNCHROTRON","APS BEAMLINE 24-ID-C"
"7U2I","100","PIXEL","2020-07-10","SYNCHROTRON","APS BEAMLINE 24-ID-C"
"7U2J","100","PIXEL","2021-11-14","SYNCHROTRON","APS BEAMLINE 24-ID-C"
"7UY5"
"7UY6"
"7ZAI"
"7F8Z","100","PIXEL","2021-05-19","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-17A"
"7SUK"
"7SZU","80","PIXEL","2021-04-10","SYNCHROTRON","APS BEAMLINE 24-ID-C"
"7TTU"
"7TTW"
"7UMC"
"7UMD"
"7UME"
"7UZW"
"7UZX"
"7UZY"
"7UZZ"
"7V00"
"7V01"
"7V02"
"7F0D"
"7V06"
"7X34"
"7ZHG"
"7F3I","100","PIXEL","2020-07-17","SYNCHROTRON","SSRF BEAMLINE BL18U1"
"7F3J","100","PIXEL","2020-05-24","SYNCHROTRON","SSRF BEAMLINE BL18U1"
"7F3K","100","PIXEL","2020-05-24","SYNCHROTRON","SSRF BEAMLINE BL18U1"
"7F3L","100","PIXEL","2020-01-03","SYNCHROTRON","SSRF BEAMLINE BL18U1"
"7F5S"
"7NRP","100","PIXEL","2019-02-15","SYNCHROTRON","DIAMOND BEAMLINE I24"
"7QGR"
"7UNR"
"7UNU"
"7UNV"
"7UNW"
"7W59"
"7W5A"
"7W5B"
"7Z52"
"8ZZJ"
"7N4E"
"7PKT"
"7PNT"
"7PNU"
"7PNV"
"7PNW"
"7PNX"
"7PNY"
"7PNZ"
"7PO0"
"7PO1"
"7PO2"
"7PO3"
"7PO4"
"7QIX"
"7QIY"
"7QQK"
"7S7B"
"7S7C"
"7UQ6","100","CCD","2013-04-11","SYNCHROTRON","APS BEAMLINE 24-ID-E"
"7UTN"
"7VFT","110","CCD","2018-04-20","SYNCHROTRON","NSRRC BEAMLINE TPS 05A"
"7WAH"
"8CSZ"
"8CTL"
"7AZS","100","PIXEL","2011-11-10","SYNCHROTRON","SLS BEAMLINE X06SA"
"7SBA"
"7SBB"
"7UZ0","100","CCD","2013-10-18","SYNCHROTRON","APS BEAMLINE 24-ID-E"
"7AZO","100","PIXEL","2010-11-10","SYNCHROTRON","SLS BEAMLINE X06SA"
"7KUB"
"7KUC"
"7KUD"
"7ODE"
"7P8Q","100","PIXEL","2019-03-17","SYNCHROTRON","SOLEIL BEAMLINE PROXIMA 2"
"7P9I","100","PIXEL","2020-09-29","SYNCHROTRON","SOLEIL BEAMLINE PROXIMA 2"
"7UCJ"
"7UCK"
"7OOC"
"7OOD"
"7P6Z"
"7PAH"
"7PAI"
"7PAJ"
"7PAK"
"7PAL"
"7PAM"
"7PAN"
"7PAO"
"7PAQ"
"7PAR"
"7PAS"
"7PAT"
"7PAU"
"7PH9"
"7PHA"
"7PHB"
"7PHC"
"7PI8"
"7PI9"
"7PIA"
"7PIB"
"7PIC"
"7PIO"
"7PIP"
"7PIQ"
"7PIR"
"7PIS"
"7PIT"
"7PWF"
"7Q08"
"7Q0R"
"7TOO"
"7TOP"
"7TOQ"
"7TOR"
"7TOS"
"7TZR","100","PIXEL","2019-03-29","SYNCHROTRON","NSLS-II BEAMLINE 17-ID-2"
"7TZS","100","PIXEL","2019-02-06","SYNCHROTRON","NSLS-II BEAMLINE 17-ID-2"
"7TZT","100","PIXEL","2021-03-21","SYNCHROTRON","APS BEAMLINE 24-ID-C"
"7TZU","100","PIXEL","2021-02-01","SYNCHROTRON","NSLS-II BEAMLINE 17-ID-2"
"7XLT"
"7ZGP"
"7ZGR"
"7MW8","100","PIXEL","2017-10-24","SYNCHROTRON","SSRL BEAMLINE BL12-2"
"7PZY"
"7Q0F"
"7Q0P"
"7QH7"
"7UG7"
"7Z42","100","PIXEL","2017-09-25","SYNCHROTRON","ESRF BEAMLINE ID29"
"7MPI"
"7MPJ"
"7N8B"
"7OTC"
"7QP6"
"7QP7"
"7Z43","100","PIXEL","2017-12-17","SYNCHROTRON","ESRF BEAMLINE MASSIF-1"
"7Z4O","100","PIXEL","2016-07-16","SYNCHROTRON","ESRF BEAMLINE ID29"
"7PUB"
"7Q4L"
"7R6L"
"7R6M"
"7R6N"
"7VNV","100","PIXEL","2015-06-25","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-17A"
"7VNW","100","PIXEL","2015-11-09","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-17A"
"7ZEX"
"7MK9"
"7MKA"
"7QGN"
"7THB","100","PIXEL","2020-12-17","SYNCHROTRON","ALS BEAMLINE 8.3.1"
"7TQL"
"7W0A"
"7W0C"
"7W0D"
"7W0E"
"7W0F"
"6YMC","100","PIXEL","2015-04-18","SYNCHROTRON","SLS BEAMLINE X06SA"
"7ELM"
"7ELN"
"7ENI","100","PIXEL","2020-01-04","SYNCHROTRON","SSRF BEAMLINE BL17U1"
"7ENR","100","PIXEL","2020-06-24","SYNCHROTRON","SSRF BEAMLINE BL19U1"
"7N2M","100","PIXEL","2013-02-28","SYNCHROTRON","APS BEAMLINE 24-ID-C"
"7P0V","100","PIXEL","2020-07-05","SYNCHROTRON","SLS BEAMLINE X06DA"
"7PWG"
"7PWO"
"7S36"
"7S37"
"7S38"
"7S3H"
"7TRC"
"7TRD"
"7TRE"
"7TRF"
"7UMK"
"7UML"
"7WE6"
"7EFG","100","PIXEL","2018-03-15","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-17A"
"7RZZ","100","PIXEL","2019-06-29","SYNCHROTRON","APS BEAMLINE 22-ID"
"7UGA"
"7V93"
"7V94"
"7ZEW"
"7EIU","100","PIXEL","2019-01-14","SYNCHROTRON","SSRF BEAMLINE BL19U1"
"7V2L"
"7V2M"
"7V2N"
"7V2O"
"7V2P"
"7V2Q"
"7EI7","100","PIXEL","2019-12-03","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-5A"
"7EI8","100","PIXEL","2019-06-29","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-5A"
"7EI9","100","PIXEL","2019-11-14","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-17A"
"7EIA","100","PIXEL","2021-02-27","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-17A"
"7OUO","100","PIXEL","2018-07-09","SYNCHROTRON","APS BEAMLINE 22-BM"
"7Q3L"
"7Q4O"
"7Q4P"
"7S0S"
"7SLP"
"7SLQ"
"7SP1"
"7TQB","100","PIXEL","2020-11-21","SYNCHROTRON","APS BEAMLINE 22-ID"
"7V4G","100","PIXEL","2020-12-15","SYNCHROTRON","DIAMOND BEAMLINE I03"
"7V99"
"7V9A"
"7WKV","100","PIXEL","2021-12-09","SYNCHROTRON","DIAMOND BEAMLINE I24"
"7WL0","100","PIXEL","2021-12-13","SYNCHROTRON","DIAMOND BEAMLINE I24"
"7EDT","100","CCD","2014-06-06","SYNCHROTRON","PHOTON FACTORY BEAMLINE AR-NE3A"
"7EDU","100","PIXEL","2016-11-09","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-17A"
"7EEM","100","PIXEL","2018-07-02","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-17A"
"7EFH","100","PIXEL","2018-03-15","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-17A"
"7KQM","100","CCD","2017-11-17","SYNCHROTRON","APS BEAMLINE 22-ID"
"7KQN","100","CCD","2019-07-27","SYNCHROTRON","APS BEAMLINE 22-BM"
"7M3V","100","PIXEL","2018-06-26","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-17A"
"7P7R"
"7PY0"
"7PY1"
"7PY3"
"7PY5"
"7PY6"
"7PY7"
"7PY8"
"7PYJ"
"7PYK"
"7Q0J"
"7Q0K"
"7Q7X","100","PIXEL","2020-12-04","SYNCHROTRON","ESRF BEAMLINE ID23-1"
"7Q7Y","100","PIXEL","2021-02-27","SYNCHROTRON","ESRF BEAMLINE ID23-1"
"7Q7Z","100","PIXEL","2021-03-30","SYNCHROTRON","PETRA III, DESY BEAMLINE P11"
"7Q80","100","PIXEL","2021-03-30","SYNCHROTRON","PETRA III, DESY BEAMLINE P11"
"7Q81","100","PIXEL","2021-02-27","SYNCHROTRON","ESRF BEAMLINE ID23-1"
"7Q82","100","PIXEL","2021-06-06","SYNCHROTRON","PETRA III, DESY BEAMLINE P11"
"7TJ2"
"7TQV"
"7V6C"
"7V9E","100","PIXEL","2021-07-21","SYNCHROTRON","SSRF BEAMLINE BL02U1"
"7ECJ","100","PIXEL","2015-05-25","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-1A"
"7ECK","100","PIXEL","2016-03-06","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-17A"
"7ECL","100","PIXEL","2015-10-26","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-1A"
"7ECM","100","PIXEL","2016-11-22","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-1A"
"7ECN","100","PIXEL","2016-06-21","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-17A"
"7ECO","100","PIXEL","2016-11-09","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-17A"
"7ECP","100","PIXEL","2016-11-22","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-17A"
"7EDL","100","PIXEL","2017-12-23","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-1A"
"7EDM","100","PIXEL","2017-12-23","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-1A"
"7EDN","100","PIXEL","2017-12-23","SYNCHROTRON","PHOTON FACTORY BEAMLINE BL-1A"
"7PO6","100","PIXEL","2020-10-11","SYNCHROTRON","SLS BEAMLINE X06DA"
