PDB_ID,Experimental_Method,Resolution_(Å)
1P5O,SOLUTION NMR,
1P5P,SOLUTION NMR,
1PBL,SOLUTION NMR,
1PBM,SOLUTION NMR,
1PBR,SOLUTION NMR,
1PJY,SOLUTION NMR,
1Q75,SOLUTION NMR,
1Q8N,SOLUTION NMR,
1QC8,SOLUTION NMR,
1QD3,SOLUTION NMR,
1QES,SOLUTION NMR,
1QET,SOLUTION NMR,
1QFQ,SOLUTION NMR,
1QWA,SOLUTION NMR,
1QWB,SOLUTION NMR,
1R2P,SOLUTION NMR,
1R3X,SOLUTION NMR,
1R4H,SOLUTION NMR,
1R7W,SOLUTION NMR,
1R7Z,SOLUTION NMR,
1RAU,SOLUTION NMR,
1RAW,SOLUTION NMR,
1RFR,SOLUTION NMR,
1RGO,SOLUTION NMR,
1RHT,SOLUTION NMR,
1RKJ,SOLUTION NMR,
1RNG,SOLUTION NMR,
1RNK,SOLUTION NMR,
1ROQ,SOLUTION NMR,
1RRD,SOLUTION NMR,
1RRR,SOLUTION NMR,
1S2F,SOLUTION NMR,
1S34,SOLUTION NMR,
1S9L,SOLUTION NMR,
1S9S,SOLUTION NMR,
1SCL,SOLUTION NMR,
1SLO,SOLUTION NMR,
1SLP,SOLUTION NMR,
1SY4,SOLUTION NMR,
1SYZ,SOLUTION NMR,
1SZY,SOLUTION NMR,
1T28,SOLUTION NMR,
1T2R,SOLUTION NMR,
1T4L,SOLUTION NMR,
1T4X,SOLUTION NMR,
1TBK,SOLUTION NMR,
1TFN,SOLUTION NMR,
1TJZ,SOLUTION NMR,
1TLR,SOLUTION NMR,
1TOB,SOLUTION NMR,
1TUT,SOLUTION NMR,
1TXS,SOLUTION NMR,
1U2A,SOLUTION NMR,
1U3K,SOLUTION NMR,
1U6P,SOLUTION NMR,
1ULL,SOLUTION NMR,
1UTS,SOLUTION NMR,
1UUD,SOLUTION NMR,
1UUI,SOLUTION NMR,
1UUU,SOLUTION NMR,
1VOP,SOLUTION NMR,
1WKS,SOLUTION NMR,
1WTS,SOLUTION NMR,
1WTT,SOLUTION NMR,
1WWD,SOLUTION NMR,
1WWE,SOLUTION NMR,
1WWF,SOLUTION NMR,
1WWG,SOLUTION NMR,
1XHP,SOLUTION NMR,
1XSG,SOLUTION NMR,
1XSH,SOLUTION NMR,
1XST,SOLUTION NMR,
1XSU,SOLUTION NMR,
1XV0,SOLUTION NMR,
1XV6,SOLUTION NMR,
1XWP,SOLUTION NMR,
1XWU,SOLUTION NMR,
1YFV,SOLUTION NMR,
1YG3,SOLUTION NMR,
1YG4,SOLUTION NMR,
1YLG,SOLUTION NMR,
1YMO,SOLUTION NMR,
1YN1,SOLUTION NMR,
1YN2,SOLUTION NMR,
1YNC,SOLUTION NMR,
1YNE,SOLUTION NMR,
1YNG,SOLUTION NMR,
1YSV,SOLUTION NMR,
1Z2J,SOLUTION NMR,
1Z30,SOLUTION NMR,
1Z31,SOLUTION NMR,
1ZBN,SOLUTION NMR,
1ZC5,SOLUTION NMR,
1ZIF,SOLUTION NMR,
1ZIG,SOLUTION NMR,
1ZIH,SOLUTION NMR,
219D,SOLUTION NMR,
28SP,SOLUTION NMR,
28SR,SOLUTION NMR,
2A9L,SOLUTION NMR,
2A9X,SOLUTION NMR,
2AD9,SOLUTION NMR,
2ADB,SOLUTION NMR,
2ADC,SOLUTION NMR,
2ADT,SOLUTION NMR,
